name,description,code,quantity,quantity_per_user,date_from,date_to,minimum_amount,reduction_amount
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-e306-4422,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-19a2-4066,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-8689-48ae,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0445-f648-4389,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044b-023d-4311,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-077f-488c,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-7804-4401,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-a55a-4624,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-9542-4748,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-b5bc-4b5b,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0446-cf58-4ac1,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-67c4-4043,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-cc9e-415a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-6428-41e4,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-1e54-4d29,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-9355-4018,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-e1c8-49da,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-0da2-4708,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-6eaf-4e63,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-9da6-4e79,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-af1f-46db,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-78bb-4d15,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-6106-419b,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-f49a-401e,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-7e8c-4077,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-ac0f-4507,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-997e-47f4,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044b-54a6-46d7,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-b745-4253,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-6283-4f62,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-9975-4029,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
