old z gwiazdka;old;new;typ 301;wild
/shop/bp-20-50-zageszczarka-jednokierunkowa-bomag-bp-20-50-46055*;/shop/bp-20-50-zageszczarka-jednokierunkowa-bomag-bp-20-50-46055;/p/zageszczarka-jednokierunkowa-bomag-bp-20-50;301;1
/shop/5100061215-zageszczarka-jednokierunkowa-wacker-neuson-bps-1550-a-100883*;/shop/5100061215-zageszczarka-jednokierunkowa-wacker-neuson-bps-1550-a-100883;/p/zageszczarka-jednokierunkowa-wacker-neuson-bps-1550-a;301;1
/shop/category/zageszczarka-500-kg-1555*;/shop/category/zageszczarka-500-kg-1555;/c/zageszczarki-gruntu-500-kg;301;1
/shop/5100068380-zageszczarka-rewersyjna-wacker-neuson-dpu-45-yeh-224541*;/shop/5100068380-zageszczarka-rewersyjna-wacker-neuson-dpu-45-yeh-224541;/p/zageszczarka-rewersyjna-wacker-neuson-dpu-45-yeh;301;1
/shop/3257g-15-zacieraczka-barikell-mk8-90-kohler-25-tc-44990*;/shop/3257g-15-zacieraczka-barikell-mk8-90-kohler-25-tc-44990;/p/zacieraczka-barikell-mk8-90-kohler-25-tc;301;1
/shop/category/wentylatory-master-dmuchawy-master-1057*;/shop/category/wentylatory-master-dmuchawy-master-1057;/c/wentylatory-i-dmuchawy;301;1
/shop/category/nagrzewnice-master-promienniki-olejowe-581*;/shop/category/nagrzewnice-master-promienniki-olejowe-581;/c/promienniki-olejowe-ir;301;1
/shop/hl-400-plus-oczyszczacz-powietrza-master-hl-400-plus-99529*;/shop/hl-400-plus-oczyszczacz-powietrza-master-hl-400-plus-99529;/p/oczyszczacz-powietrza-master-mas-13;301;1
/shop/pia-stoowa-spn-700-superior-do-bloczkow-betonowych-47494*;/shop/pia-stoowa-spn-700-superior-do-bloczkow-betonowych-47494;/p/pila-stolowa-spn-700-superior-400v-z-tarcza-diamentowa-ksp700;301;1
/shop/pila-do-pustakow-norton-clipper-jumbo-651-47499*;/shop/pila-do-pustakow-norton-clipper-jumbo-651-47499;/p/pila-stolowa-norton-clipper-jumbo-651-400v;301;1
/shop/pia-stoowa-do-kostki-brukowej-tyrolit-tbe-400-230v-103419*;/shop/pia-stoowa-do-kostki-brukowej-tyrolit-tbe-400-230v-103419;/p/pila-stolowa-do-kostki-brukowej-tyrolit-tbe-400-230v;301;1
/shop/chp1-chwytak-poprzeczny-jazon-chp1-46068*;/shop/chp1-chwytak-poprzeczny-jazon-chp1-46068;/p/chwytak-poprzeczny-jazon-chp1;301;1
/shop/mgk-motek-brukarski-krotki-jazon-mgk-46101*;/shop/mgk-motek-brukarski-krotki-jazon-mgk-46101;/p/mlotek-brukarski-krotki-jazon-mgk;301;1
/shop/category/zacieranie-betonu-zacieraczki-do-betonu-zacieraczki-pojedyncze-292*;/shop/category/zacieranie-betonu-zacieraczki-do-betonu-zacieraczki-pojedyncze-292;/c/zacieraczki-pojedyncze;301;1
/shop/category/zacieranie-betonu-zacieraczki-do-betonu-zacieraczki-samojezdne-293*;/shop/category/zacieranie-betonu-zacieraczki-do-betonu-zacieraczki-samojezdne-293;/c/zacieraczki-samojezdne;301;1
