id_category;category_name;id_product;product_name
1147;"Agregaty prądotwórcze Fogo";420;"Agregat prądotwórczy trójfazowy FOGO FH 9540TR"
1147;"Agregaty prądotwórcze Fogo";421;"Agregat prądotwórczy trójfazowy FOGO FH 9540TRA"
1147;"Agregaty prądotwórcze Fogo";389;"Agregat prądotwórczy trójfazowy FOGO FH6540"
1147;"Agregaty prądotwórcze Fogo";425;"Agregat prądotwórczy trójfazowy FOGO FM 6000"
1147;"Agregaty prądotwórcze Fogo";426;"Agregat prądotwórczy trójfazowy FOGO FM 6000R"
1147;"Agregaty prądotwórcze Fogo";429;"Agregat prądotwórczy trójfazowy FOGO FM 6540"
1147;"Agregaty prądotwórcze Fogo";430;"Agregat prądotwórczy trójfazowy FOGO FM 8000"
1147;"Agregaty prądotwórcze Fogo";432;"Agregat prądotwórczy trójfazowy FOGO FM 8000E"
1147;"Agregaty prądotwórcze Fogo";435;"Agregat prądotwórczy trójfazowy FOGO FM 8000R"
1147;"Agregaty prądotwórcze Fogo";438;"Agregat prądotwórczy trójfazowy FOGO FM 8000RE"
1147;"Agregaty prądotwórcze Fogo";441;"Agregat prądotwórczy trójfazowy FOGO FM 9000"
1147;"Agregaty prądotwórcze Fogo";444;"Agregat prądotwórczy trójfazowy FOGO FM 9000E"
1147;"Agregaty prądotwórcze Fogo";443;"Agregat prądotwórczy trójfazowy FOGO FM 9000R"
1147;"Agregaty prądotwórcze Fogo";139;"Dmuchawa strażacka MW 22 Rato"
1148;"Agregaty prądotwórcze Honda";129;"Agregat prądotwórczy jednofazowy FOGO F5001iSG inwerterowy benzyna gaz"
1148;"Agregaty prądotwórcze Honda";132;"Agregat prądotwórczy jednofazowy FOGO F8001iSA inwerterowy"
1148;"Agregaty prądotwórcze Honda";130;"Agregat prądotwórczy jednofazowy FOGO FH 3001"
1148;"Agregaty prądotwórcze Honda";134;"Agregat prądotwórczy jednofazowy FOGO FH 3001"
1148;"Agregaty prądotwórcze Honda";133;"Agregat prądotwórczy jednofazowy FOGO FH 3001 R"
1148;"Agregaty prądotwórcze Honda";135;"Agregat prądotwórczy jednofazowy FOGO FH 3541"
1148;"Agregaty prądotwórcze Honda";137;"Agregat prądotwórczy jednofazowy FOGO FH 4001"
1148;"Agregaty prądotwórcze Honda";141;"Agregat prądotwórczy jednofazowy FOGO FH 4541"
1148;"Agregaty prądotwórcze Honda";143;"Agregat prądotwórczy jednofazowy FOGO FH 5001"
1148;"Agregaty prądotwórcze Honda";144;"Agregat prądotwórczy jednofazowy FOGO FH 5001R"
1148;"Agregaty prądotwórcze Honda";146;"Agregat prądotwórczy jednofazowy FOGO FH 6001"
1148;"Agregaty prądotwórcze Honda";149;"Agregat prądotwórczy jednofazowy FOGO FH 6001 CRA"
1148;"Agregaty prądotwórcze Honda";150;"Agregat prądotwórczy jednofazowy FOGO FH 6001 R"
1148;"Agregaty prądotwórcze Honda";153;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TE"
1148;"Agregaty prądotwórcze Honda";155;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TR"
1148;"Agregaty prądotwórcze Honda";157;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TRA"
1148;"Agregaty prądotwórcze Honda";158;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TRE"
1148;"Agregaty prądotwórcze Honda";152;"Agregat prądotwórczy jednofazowy FOGO FH 6001T"
1148;"Agregaty prądotwórcze Honda";161;"Agregat prądotwórczy jednofazowy FOGO FH 6541"
1148;"Agregaty prądotwórcze Honda";162;"Agregat prądotwórczy jednofazowy FOGO FH 7001"
1148;"Agregaty prądotwórcze Honda";164;"Agregat prądotwórczy jednofazowy FOGO FH 7001 R"
1148;"Agregaty prądotwórcze Honda";166;"Agregat prądotwórczy jednofazowy FOGO FH 7001 T"
1148;"Agregaty prądotwórcze Honda";168;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TE"
1148;"Agregaty prądotwórcze Honda";170;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TR"
1148;"Agregaty prądotwórcze Honda";172;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TRA"
1148;"Agregaty prądotwórcze Honda";175;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TRE"
1148;"Agregaty prądotwórcze Honda";179;"Agregat prądotwórczy jednofazowy FOGO FM 3001"
1148;"Agregaty prądotwórcze Honda";181;"Agregat prądotwórczy jednofazowy FOGO FM 3001R"
1148;"Agregaty prądotwórcze Honda";182;"Agregat prądotwórczy jednofazowy FOGO FM 3541"
1148;"Agregaty prądotwórcze Honda";185;"Agregat prądotwórczy jednofazowy FOGO FM 4001"
1148;"Agregaty prądotwórcze Honda";187;"Agregat prądotwórczy jednofazowy FOGO FM 4001R"
1148;"Agregaty prądotwórcze Honda";190;"Agregat prądotwórczy jednofazowy FOGO FM 4541"
1148;"Agregaty prądotwórcze Honda";192;"Agregat prądotwórczy jednofazowy FOGO FM 6001"
1148;"Agregaty prądotwórcze Honda";195;"Agregat prądotwórczy jednofazowy FOGO FM 6001E"
1148;"Agregaty prądotwórcze Honda";196;"Agregat prądotwórczy jednofazowy FOGO FM 6001R"
1148;"Agregaty prądotwórcze Honda";199;"Agregat prądotwórczy jednofazowy FOGO FM 6001RE"
1148;"Agregaty prądotwórcze Honda";201;"Agregat prądotwórczy jednofazowy FOGO FM 6541"
1148;"Agregaty prądotwórcze Honda";203;"Agregat prądotwórczy jednofazowy FOGO FV 10001 CRA"
1148;"Agregaty prądotwórcze Honda";206;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TE"
1148;"Agregaty prądotwórcze Honda";209;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TRA"
1148;"Agregaty prądotwórcze Honda";212;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TRE"
1148;"Agregaty prądotwórcze Honda";216;"Agregat prądotwórczy jednofazowy FOGO FV 11001 CRA"
1148;"Agregaty prądotwórcze Honda";218;"Agregat prądotwórczy jednofazowy FOGO FV 11001 TE"
1148;"Agregaty prądotwórcze Honda";221;"Agregat prądotwórczy jednofazowy FOGO FV 11001 TRA"
